date,value
2025-02-18,950.97
2025-02-19,949.68
2025-02-20,952.12
2025-02-21,962.91
2025-02-24,961.26
2025-02-25,953.59
2025-02-26,959.69
2025-02-27,961.49
2025-02-28,961.82
2025-03-04,976.37
2025-03-05,973.42
2025-03-06,978.26
2025-03-07,974.28
2025-03-10,980.54
2025-03-11,988.29
2025-03-12,986.0
2025-03-13,979.86
2025-03-14,981.64
2025-03-17,979.33
2025-03-18,969.37
2025-03-19,968.74
2025-03-20,976.7
2025-03-21,981.14
2025-03-24,980.65
2025-03-25,973.36
2025-03-26,980.09
2025-03-27,974.37
2025-03-28,971.26
2025-03-31,981.76
2025-04-01,980.11
2025-04-02,982.48
2025-04-03,989.95
2025-04-04,1006.0
2025-04-07,992.45
2025-04-08,990.91
2025-04-09,1008.61
2025-04-10,1004.81
2025-04-11,1012.07
2025-04-14,1009.74
2025-04-15,996.41
2025-04-16,993.89
2025-04-17,1006.42
2025-04-18,997.26
2025-04-21,1003.53
2025-04-22,1007.99
2025-04-23,996.99
2025-04-24,997.03
2025-04-25,1001.68
2025-04-28,997.88
2025-04-29,1011.85
2025-04-30,1011.07
2025-05-02,980.89
2025-05-07,995.92
2025-05-08,969.17
2025-05-09,956.69
2025-05-12,964.23
2025-05-13,943.38
2025-05-14,958.67
2025-05-15,966.12
2025-05-16,961.96
2025-05-19,960.43
2025-05-20,964.5
2025-05-21,964.5
2025-05-22,962.96
2025-05-23,958.59
2025-05-26,964.05
2025-05-27,956.62
2025-05-28,948.79
2025-05-29,946.56
2025-05-30,959.27
2025-06-02,956.78
2025-06-04,956.75
2025-06-05,962.18
2025-06-09,939.48
2025-06-10,939.47
2025-06-11,938.35
2025-06-12,948.94
2025-06-13,950.22
2025-06-16,945.59
2025-06-17,942.66
2025-06-18,936.87
2025-06-19,946.87
2025-06-20,948.6
2025-06-23,935.54
2025-06-24,947.16
2025-06-25,941.9
2025-06-26,938.2
2025-06-27,939.26
2025-06-30,938.98
2025-07-01,940.65
2025-07-02,943.01
2025-07-03,946.82
2025-07-04,937.43
2025-07-07,943.95
2025-07-08,936.77
2025-07-09,932.77
2025-07-10,939.25
2025-07-11,939.32
2025-07-14,932.16
2025-07-15,932.52
2025-07-16,928.77
2025-07-17,937.9
2025-07-18,937.73
2025-07-21,936.64
2025-07-22,943.66
2025-07-23,945.02
2025-07-24,941.94
2025-07-25,930.96
2025-07-28,931.21
2025-07-29,928.96
2025-07-30,936.88
2025-07-31,926.1
2025-08-01,922.78
2025-08-04,950.1
2025-08-05,943.42
2025-08-06,939.66
2025-08-07,943.89
2025-08-08,942.5
2025-08-11,938.07
2025-08-12,936.74
2025-08-13,940.72
2025-08-14,940.05
2025-08-18,938.52
2025-08-19,936.39
2025-08-20,940.95
2025-08-21,948.13
2025-08-22,942.15
2025-08-25,948.65
2025-08-26,937.92
2025-08-27,943.51
2025-08-28,947.52
2025-08-29,944.79
2025-09-01,943.05
2025-09-02,946.25
2025-09-03,937.41
2025-09-04,941.72
2025-09-05,937.88
2025-09-08,938.28
2025-09-09,943.25
2025-09-10,940.93
2025-09-11,941.7
2025-09-12,943.79
2025-09-15,940.15
2025-09-16,942.7
2025-09-17,943.77
2025-09-18,939.83
2025-09-19,935.76
2025-09-22,941.53
2025-09-23,943.68
2025-09-24,944.02
2025-09-25,937.31
2025-09-26,935.19
2025-09-29,944.44
2025-09-30,943.73
2025-10-01,949.26
2025-10-02,956.43
2025-10-10,915.08
2025-10-13,935.49
2025-10-14,937.0
2025-10-15,940.88
2025-10-16,943.59
2025-10-17,944.68
2025-10-20,940.66
2025-10-21,941.9
2025-10-22,937.2
2025-10-23,941.2
2025-10-24,941.23
2025-10-27,937.77
2025-10-28,937.75
2025-10-29,942.84
2025-10-30,938.38
2025-10-31,923.62
2025-11-03,926.1
2025-11-04,926.69
2025-11-05,935.61
2025-11-06,939.43
2025-11-07,944.87
2025-11-10,945.54
2025-11-11,943.26
2025-11-12,949.33
2025-11-13,947.75
2025-11-14,950.67
2025-11-17,944.1
2025-11-18,939.51
2025-11-19,942.13
2025-11-20,932.76
